PNR,SourceSystemTicketingDate,SupplierTicketingDate,SourceSystem,SupplierName,SourceSystemStatus,SupplierStatus,IsOrphan,PCC,TicketingAgentSignOn
DCR1V5,,2025-09-10T07:02:36.063+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCR3JV,,2025-09-10T07:07:54.963+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCR4Q7,,2025-09-10T07:11:25.664+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCR1WW,,2025-09-10T07:02:47.724+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCR4YN,,2025-09-10T07:12:07.120+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCR5R6,,2025-09-10T07:14:31.490+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCR503,,2025-09-10T07:15:13.376+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCR690,,2025-09-10T07:15:55.360+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCR65X,,2025-09-10T07:15:40.125+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCR6DP,,2025-09-10T07:16:15.722+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCR6HW,,2025-09-10T07:16:31.809+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCR6G6,,2025-09-10T07:16:23.748+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCPCXX,,2025-09-10T07:19:44.217+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCR6TR,,2025-09-10T07:17:22.731+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCR824,,2025-09-10T07:20:49.946+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCR8B6,,2025-09-10T07:21:35.633+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCR8Y5,,2025-09-10T07:23:21.080+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCR85V,,2025-09-10T07:21:10.102+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCR83W,,2025-09-10T07:20:59.899+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCR8W5,,2025-09-10T07:27:19.907+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCR15Q,,2025-09-10T07:23:56.363+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCR9L7,,2025-09-10T07:25:02.331+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCR9QS,,2025-09-10T07:25:26.757+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRBTX,,2025-09-10T07:28:21.470+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRC0T,,2025-09-10T07:28:58.405+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRBSJ,,2025-09-10T07:28:14.671+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCRCZM,,2025-09-10T07:31:47.510+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
